date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:35	84835/84835	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:35%20GMT	https://www.nequi.com.co/	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/index.html	(from )
17:17:36	84/84	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:17:35%20GMT	https://www.nequi.com.co/robots.txt		(from )
17:17:36	532083/532083	---M-Z	200	added ('OK')	text/css	etag:%22014b424e48d6a5a704931596a645e7a1%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/css/nequi-colombia.d21c6c9d6.min.css	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/css/nequi-colombia.d21c6c9d6.min.css	(from https://www.nequi.com.co/)
17:17:36	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Carolain/Downloads/nequi_login/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.nequi.com.co/)
17:17:36	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2022:17:36%20GMT	https://fonts.googleapis.com/	C:/Users/Carolain/Downloads/nequi_login/fonts.googleapis.com/index.html	(from https://www.nequi.com.co/)
17:17:36	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2022:17:37%20GMT	https://fonts.gstatic.com/	C:/Users/Carolain/Downloads/nequi_login/fonts.gstatic.com/index.html	(from https://www.nequi.com.co/)
17:17:37	913/913	---M--	200	added ('OK')	image/png	etag:%2237ee03da95c2b49c95f8933208cc900a%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/637e2e87f3ef8368d6cd1db4_Icon-Nequi-32x32.png	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/637e2e87f3ef8368d6cd1db4_Icon-Nequi-32x32.png	(from https://www.nequi.com.co/)
17:17:37	5076/5076	---M--	200	added ('OK')	image/png	etag:%22c39205fe04b6c42047c97bd28d65176d%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/637e2e8fa681cfbbe4b0caf0_Icon-Nequi-256x256.png	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/637e2e8fa681cfbbe4b0caf0_Icon-Nequi-256x256.png	(from https://www.nequi.com.co/)
17:17:37	850/850	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Oct%202023%2022:17:37%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Carolain/Downloads/nequi_login/www.google.com/recaptcha/api.js	(from https://www.nequi.com.co/)
17:17:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2010%20Oct%202023%2022:17:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Carolain/Downloads/nequi_login/www.googletagmanager.com/gtm.55445.delayed	(from https://www.nequi.com.co/)
17:17:38	1121/1121	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:38%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-PS6JT5F	C:/Users/Carolain/Downloads/nequi_login/www.googletagmanager.com/ns1284.html	(from https://www.nequi.com.co/)
17:17:38	6284/6284	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22556dcc883802a3abebc2f2c348094411%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/631b991aff307a018c353dcd_Logo-Nequi.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/631b991aff307a018c353dcd_Logo-Nequi.svg	(from https://www.nequi.com.co/)
17:17:39	298/298	---M--	200	added ('OK')	image/png	etag:%22d622cb0bdc5ce57c9704624cbfcd388b%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/632250be815e355808f41b1f_colombia.png	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/632250be815e355808f41b1f_colombia.png	(from https://www.nequi.com.co/)
17:17:39	2535/2535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e5f8a3c1eb51bd62c212839618e9caec%22	https://assets-global.website-files.com/6317a229ebf7723658463b4b/63507047604e3fd408d2209b_PA%20-%20Panama.svg	C:/Users/Carolain/Downloads/nequi_login/assets-global.website-files.com/6317a229ebf7723658463b4b/63507047604e3fd408d2209b_PA%20-%20Panama.svg	(from https://www.nequi.com.co/)
17:17:40	52480/52480	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:40%20GMT	https://www.nequi.com.pa/	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.pa/index.html	(from https://www.nequi.com.co/)
17:17:40	48647/48647	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202023%2022:17:40%20GMT	https://www.nequi.com.co/usa-tu-plata	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/usa-tu-plata.html	(from https://www.nequi.com.co/)
